m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","javascript","163"
"2008-08-01 00:00:00","c","85"
"2008-08-01 00:00:00","python","124"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","c#","509"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","ruby","72"
"2008-08-01 00:00:00","php","161"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","delphi","105"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","javascript","639"
"2008-09-01 00:00:00","java","1136"
"2008-09-01 00:00:00","c#","1650"
"2008-09-01 00:00:00","perl","131"
"2008-09-01 00:00:00","python","541"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","c++","754"
"2008-09-01 00:00:00","php","481"
"2008-09-01 00:00:00","ruby","289"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1153"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c#","1990"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","php","615"
"2008-10-01 00:00:00","python","510"
"2008-10-01 00:00:00","javascript","726"
"2008-10-01 00:00:00","c++","811"
"2008-10-01 00:00:00","ruby","249"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c#","1733"
"2008-11-01 00:00:00","python","452"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","java","958"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","javascript","580"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","503"
"2008-11-01 00:00:00","ruby","159"
"2008-11-01 00:00:00","r","1"
"2008-12-01 00:00:00","javascript","627"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","187"
"2008-12-01 00:00:00","c#","1597"
"2008-12-01 00:00:00","java","830"
"2008-12-01 00:00:00","php","481"
"2008-12-01 00:00:00","c++","633"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","python","440"
"2008-12-01 00:00:00","perl","134"
"2008-12-01 00:00:00","ruby","161"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","php","636"
"2009-01-01 00:00:00","java","1150"
"2009-01-01 00:00:00","c#","2378"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c++","852"
"2009-01-01 00:00:00","c","321"
"2009-01-01 00:00:00","ruby","209"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","swift","1"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","python","631"
"2009-02-01 00:00:00","javascript","948"
"2009-02-01 00:00:00","perl","165"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2600"
"2009-02-01 00:00:00","assembly","37"
"2009-02-01 00:00:00","java","1208"
"2009-02-01 00:00:00","c++","844"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","swift","1"
"2009-02-01 00:00:00","php","768"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","javascript","1005"
"2009-03-01 00:00:00","c#","3162"
"2009-03-01 00:00:00","c","431"
"2009-03-01 00:00:00","java","1438"
"2009-03-01 00:00:00","php","902"
"2009-03-01 00:00:00","c++","1052"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","perl","138"
"2009-03-01 00:00:00","delphi","162"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","javascript","1050"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","java","1534"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","c++","1019"
"2009-04-01 00:00:00","c#","3315"
"2009-04-01 00:00:00","c","458"
"2009-04-01 00:00:00","php","965"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","ruby","358"
"2009-04-01 00:00:00","r","12"
"2009-05-01 00:00:00","javascript","1432"
"2009-05-01 00:00:00","assembly","47"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","c","480"
"2009-05-01 00:00:00","c#","3555"
"2009-05-01 00:00:00","python","999"
"2009-05-01 00:00:00","ruby","402"
"2009-05-01 00:00:00","java","1817"
"2009-05-01 00:00:00","c++","1217"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1181"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","c","502"
"2009-06-01 00:00:00","java","2113"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","delphi","222"
"2009-06-01 00:00:00","c++","1253"
"2009-06-01 00:00:00","javascript","1557"
"2009-06-01 00:00:00","perl","247"
"2009-06-01 00:00:00","c#","3882"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","php","1578"
"2009-06-01 00:00:00","ruby","432"
"2009-06-01 00:00:00","python","1044"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","c#","4407"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c++","1466"
"2009-07-01 00:00:00","python","1160"
"2009-07-01 00:00:00","java","2258"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","c","541"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-07-01 00:00:00","php","2030"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","251"
"2009-08-01 00:00:00","java","2191"
"2009-08-01 00:00:00","php","2186"
"2009-08-01 00:00:00","c#","4456"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","python","1138"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","ruby","485"
"2009-08-01 00:00:00","swift","2"
"2009-09-01 00:00:00","java","2263"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","c#","4353"
"2009-09-01 00:00:00","c","574"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","php","2266"
"2009-09-01 00:00:00","c++","1464"
"2009-09-01 00:00:00","perl","250"
"2009-09-01 00:00:00","python","1166"
"2009-09-01 00:00:00","delphi","252"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","74"
"2009-10-01 00:00:00","delphi","255"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","c++","1686"
"2009-10-01 00:00:00","java","2504"
"2009-10-01 00:00:00","c#","4724"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","python","1421"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2361"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","python","1556"
"2009-11-01 00:00:00","c#","4683"
"2009-11-01 00:00:00","c","964"
"2009-11-01 00:00:00","javascript","2227"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c++","1757"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","perl","323"
"2009-11-01 00:00:00","php","2690"
"2009-11-01 00:00:00","java","2762"
"2009-11-01 00:00:00","swift","3"
"2009-11-01 00:00:00","r","94"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","php","2828"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","java","2689"
"2009-12-01 00:00:00","python","1590"
"2009-12-01 00:00:00","c#","4488"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","c","851"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","javascript","2303"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","c++","1656"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","javascript","2621"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c++","2001"
"2010-01-01 00:00:00","python","1947"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","c","981"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","java","3728"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","ruby","684"
"2010-01-01 00:00:00","php","3437"
"2010-01-01 00:00:00","r","94"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1036"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","c#","5100"
"2010-02-01 00:00:00","perl","348"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","javascript","2639"
"2010-02-01 00:00:00","php","3166"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","c++","2277"
"2010-02-01 00:00:00","python","1863"
"2010-02-01 00:00:00","swift","2"
"2010-02-01 00:00:00","ruby","688"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","python","2072"
"2010-03-01 00:00:00","delphi","318"
"2010-03-01 00:00:00","c++","2437"
"2010-03-01 00:00:00","c","1116"
"2010-03-01 00:00:00","c#","6035"
"2010-03-01 00:00:00","java","4445"
"2010-03-01 00:00:00","php","3751"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","c","1185"
"2010-04-01 00:00:00","javascript","3005"
"2010-04-01 00:00:00","python","1815"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c#","5785"
"2010-04-01 00:00:00","ruby","753"
"2010-04-01 00:00:00","php","3648"
"2010-04-01 00:00:00","java","3889"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","swift","2"
"2010-04-01 00:00:00","c++","2490"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","perl","365"
"2010-05-01 00:00:00","java","4174"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c++","2421"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","javascript","3229"
"2010-05-01 00:00:00","perl","287"
"2010-05-01 00:00:00","c","1181"
"2010-05-01 00:00:00","c#","5933"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","php","3994"
"2010-05-01 00:00:00","ruby","776"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","swift","1"
"2010-05-01 00:00:00","python","2009"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","java","4285"
"2010-06-01 00:00:00","c#","6147"
"2010-06-01 00:00:00","javascript","3470"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","c","1154"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","c++","2824"
"2010-06-01 00:00:00","php","4094"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","python","2206"
"2010-06-01 00:00:00","swift","2"
"2010-06-01 00:00:00","r","177"
"2010-07-01 00:00:00","c","1288"
"2010-07-01 00:00:00","c#","6684"
"2010-07-01 00:00:00","php","4607"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","java","4522"
"2010-07-01 00:00:00","javascript","3877"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","c++","2688"
"2010-07-01 00:00:00","perl","436"
"2010-07-01 00:00:00","python","2596"
"2010-07-01 00:00:00","swift","1"
"2010-07-01 00:00:00","ruby","913"
"2010-08-01 00:00:00","javascript","4001"
"2010-08-01 00:00:00","java","4710"
"2010-08-01 00:00:00","c#","6964"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","php","5143"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c++","2638"
"2010-08-01 00:00:00","c","1369"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","perl","548"
"2010-08-01 00:00:00","swift","2"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","python","2493"
"2010-08-01 00:00:00","delphi","354"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","javascript","3998"
"2010-09-01 00:00:00","java","4721"
"2010-09-01 00:00:00","python","2250"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","c++","2738"
"2010-09-01 00:00:00","c","1378"
"2010-09-01 00:00:00","c#","6405"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4698"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","ruby","936"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","javascript","4114"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","c","1444"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c#","6742"
"2010-10-01 00:00:00","python","2671"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","perl","499"
"2010-10-01 00:00:00","php","4519"
"2010-10-01 00:00:00","java","5027"
"2010-10-01 00:00:00","c++","2934"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","926"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","java","5600"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1676"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","javascript","4546"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","c++","3375"
"2010-11-01 00:00:00","c#","7318"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","php","5116"
"2010-11-01 00:00:00","ruby","929"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","swift","1"
"2010-11-01 00:00:00","python","2608"
"2010-12-01 00:00:00","c#","7112"
"2010-12-01 00:00:00","c++","3138"
"2010-12-01 00:00:00","python","2483"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","java","5677"
"2010-12-01 00:00:00","c","1469"
